2000-2005	SEER	Baseline	Incidence	Rates	Whites														
Male_rate_	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
35-39__yrs	1.9823E+00	1.5890E-01	1.3997E+00	4.1009E+00	3.1475E+00	3.1780E-01	2.7990E-01	9.1550E-01	3.9874E+00	5.8570E+01	2.1231E+01	5.2736E+00	0.0000E+00	1.0668E+00	2.7163E+00	3.9647E+00	2.0837E+01	2.9659E+00	2.4787E+01
40-44__yrs	3.2169E+00	2.9370E-01	1.9416E+00	8.2822E+00	6.5770E+00	6.3760E-01	6.2330E-01	1.7840E+00	1.1255E+01	1.1923E+02	2.8737E+01	9.2637E+00	0.0000E+00	2.1852E+00	5.1155E+00	4.1626E+00	2.2568E+01	3.6682E+00	3.3172E+01
45-49__yrs	5.4587E+00	9.1990E-01	3.1171E+00	1.5099E+01	1.1526E+01	1.5281E+00	1.3152E+00	4.0066E+00	2.4070E+01	1.9044E+02	3.8089E+01	1.6596E+01	0.0000E+00	4.0750E+00	7.8915E+00	5.2154E+00	2.3507E+01	4.5996E+00	4.0332E+01
50-54__yrs	8.4520E+00	1.3161E+00	4.4867E+00	2.8005E+01	1.8955E+01	2.7262E+00	2.2220E+00	7.7427E+00	4.5721E+01	2.4398E+02	5.9403E+01	2.3903E+01	0.0000E+00	7.9392E+00	1.2896E+01	7.1957E+00	2.3014E+01	5.9651E+00	4.8464E+01
55-59__yrs	1.1860E+01	2.8108E+00	6.4472E+00	4.1598E+01	2.4336E+01	3.8767E+00	3.9603E+00	1.4023E+01	9.3646E+01	3.1536E+02	8.5328E+01	3.1275E+01	0.0000E+00	1.4545E+01	1.9603E+01	9.1222E+00	2.1599E+01	7.9205E+00	5.9582E+01
60-64__yrs	1.6562E+01	4.7280E+00	9.2224E+00	6.7457E+01	3.1887E+01	5.7451E+00	6.5423E+00	2.3572E+01	1.6672E+02	3.8040E+02	9.9811E+01	4.0711E+01	0.0000E+00	2.4767E+01	2.6843E+01	1.2068E+01	2.0534E+01	1.1050E+01	7.3752E+01
65-69__yrs	2.0256E+01	7.6911E+00	1.4636E+01	1.0937E+02	4.4025E+01	9.0835E+00	1.0111E+01	3.5688E+01	2.5235E+02	4.3271E+02	1.0836E+02	4.4970E+01	0.0000E+00	3.8091E+01	3.6284E+01	1.4421E+01	2.0571E+01	1.6261E+01	8.7719E+01
70-74__yrs	2.6266E+01	1.0708E+01	2.1097E+01	1.5204E+02	5.2106E+01	1.2336E+01	1.3735E+01	5.0903E+01	3.2609E+02	4.5158E+02	1.0299E+02	5.1540E+01	0.0000E+00	5.0761E+01	4.2036E+01	1.7664E+01	1.8478E+01	2.0832E+01	1.0416E+02
75-79__yrs	2.8770E+01	1.2103E+01	2.6838E+01	2.1183E+02	6.3942E+01	1.4186E+01	1.7254E+01	6.5476E+01	3.5674E+02	4.8203E+02	9.9833E+01	5.6726E+01	0.0000E+00	6.3866E+01	4.8544E+01	2.0323E+01	1.6459E+01	2.9300E+01	1.1821E+02
80-84__yrs	2.9729E+01	1.3405E+01	3.5471E+01	2.7119E+02	7.0893E+01	1.5838E+01	2.2261E+01	7.8460E+01	3.2474E+02	4.5735E+02	9.5344E+01	6.0700E+01	0.0000E+00	7.5881E+01	4.9484E+01	1.9025E+01	1.2870E+01	3.5520E+01	1.2488E+02
>=85___yrs	3.0620E+01	1.5460E+01	4.1928E+01	3.1283E+02	7.5775E+01	1.3134E+01	2.5192E+01	8.8709E+01	2.2460E+02	3.6802E+02	7.3349E+01	5.1985E+01	0.0000E+00	8.2380E+01	3.7975E+01	1.5585E+01	8.4807E+00	4.0627E+01	1.2428E+02
Fem_se____	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
00-00__yrs	4.0900E-02	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	2.3510E-01	0.0000E+00	4.0900E-02	4.0900E-02	0.0000E+00	0.0000E+00	4.0900E-02	0.0000E+00	5.7900E-02	2.4210E-01	3.9040E-01	0.0000E+00	4.4830E-01	6.5480E-01
01-04__yrs	2.3600E-02	0.0000E+00	1.8300E-02	0.0000E+00	0.0000E+00	6.5000E-02	1.0500E-02	1.4900E-02	1.8300E-02	0.0000E+00	0.0000E+00	2.3600E-02	0.0000E+00	2.1100E-02	1.4140E-01	2.0380E-01	1.4900E-02	2.9970E-01	2.1260E-01
05-09__yrs	2.8800E-02	0.0000E+00	8.3000E-03	0.0000E+00	0.0000E+00	2.6200E-02	0.0000E+00	8.3000E-03	8.3000E-03	0.0000E+00	1.6600E-02	4.7700E-02	0.0000E+00	1.1700E-02	6.2100E-02	1.6390E-01	3.5200E-02	1.8150E-01	1.2250E-01
10-14__yrs	4.8900E-02	8.0000E-03	1.6100E-02	2.4100E-02	8.0000E-03	2.6700E-02	8.0000E-03	1.1400E-02	1.6100E-02	8.0000E-03	2.1300E-02	8.0000E-02	0.0000E+00	8.0000E-03	3.6800E-02	1.4360E-01	8.4300E-02	1.5140E-01	1.6310E-01
15-19__yrs	4.9900E-02	8.4000E-03	2.0600E-02	4.4600E-02	1.8800E-02	2.9200E-02	0.0000E+00	1.8800E-02	3.5800E-02	3.3700E-02	4.3800E-02	1.1310E-01	0.0000E+00	2.3800E-02	4.3000E-02	1.3270E-01	1.6750E-01	1.3670E-01	2.1770E-01
20-24__yrs	7.8200E-02	1.5000E-02	3.6600E-02	6.6400E-02	5.3900E-02	3.5600E-02	1.5000E-02	2.4400E-02	5.5300E-02	1.0540E-01	1.2780E-01	1.2340E-01	0.0000E+00	4.3200E-02	4.9600E-02	1.4170E-01	2.7220E-01	1.3070E-01	2.9740E-01
25-29__yrs	9.0400E-02	1.5300E-02	5.5800E-02	9.9800E-02	7.6900E-02	3.5300E-02	2.9200E-02	4.6700E-02	7.1600E-02	2.5860E-01	2.6280E-01	1.3920E-01	0.0000E+00	5.6500E-02	7.4800E-02	1.6090E-01	3.5110E-01	1.3580E-01	3.7080E-01
30-34__yrs	1.0570E-01	2.5600E-02	8.1200E-02	1.4020E-01	1.1230E-01	3.1300E-02	3.2300E-02	5.8300E-02	1.0030E-01	4.5270E-01	3.5590E-01	1.5610E-01	0.0000E+00	6.8600E-02	1.0780E-01	1.5550E-01	3.8070E-01	1.4410E-01	4.0300E-01
35-39__yrs	1.2250E-01	3.4700E-02	1.0290E-01	1.7610E-01	1.5430E-01	4.9000E-02	4.6000E-02	8.3200E-02	1.7370E-01	6.6570E-01	4.0080E-01	1.9980E-01	0.0000E+00	8.9800E-02	1.4340E-01	1.7320E-01	3.9710E-01	1.4980E-01	4.3310E-01
40-44__yrs	1.5180E-01	4.5900E-02	1.1790E-01	2.4360E-01	2.1710E-01	6.7600E-02	6.6800E-02	1.1310E-01	2.8400E-01	9.2420E-01	4.5370E-01	2.5760E-01	0.0000E+00	1.2510E-01	1.9140E-01	1.7270E-01	4.0210E-01	1.6210E-01	4.8750E-01
45-49__yrs	2.0370E-01	8.3600E-02	1.5390E-01	3.3880E-01	2.9600E-01	1.0780E-01	1.0000E-01	1.7450E-01	4.2780E-01	1.2033E+00	5.3810E-01	3.5520E-01	0.0000E+00	1.7600E-01	2.4490E-01	1.9910E-01	4.2270E-01	1.8700E-01	5.5370E-01
50-54__yrs	2.6880E-01	1.0610E-01	1.9580E-01	4.8920E-01	4.0250E-01	1.5260E-01	1.3780E-01	2.5720E-01	6.2510E-01	1.4440E+00	7.1250E-01	4.5200E-01	0.0000E+00	2.6050E-01	3.3200E-01	2.4800E-01	4.4350E-01	2.2580E-01	6.4360E-01
55-59__yrs	3.5200E-01	1.7140E-01	2.5960E-01	6.5930E-01	5.0430E-01	2.0130E-01	2.0340E-01	3.8280E-01	9.8920E-01	1.8153E+00	9.4430E-01	5.7170E-01	0.0000E+00	3.8990E-01	4.5260E-01	3.0870E-01	4.7510E-01	2.8770E-01	7.8900E-01
60-64__yrs	4.7710E-01	2.5490E-01	3.5600E-01	9.6290E-01	6.6200E-01	2.8100E-01	2.9990E-01	5.6920E-01	1.5137E+00	2.2866E+00	1.1713E+00	7.4800E-01	0.0000E+00	5.8340E-01	6.0740E-01	4.0730E-01	5.3120E-01	3.8970E-01	1.0068E+00
65-69__yrs	5.7940E-01	3.5710E-01	4.9260E-01	1.3464E+00	8.5430E-01	3.8800E-01	4.0940E-01	7.6910E-01	2.0452E+00	2.6781E+00	1.3402E+00	8.6340E-01	0.0000E+00	7.9460E-01	7.7550E-01	4.8890E-01	5.8390E-01	5.1920E-01	1.2058E+00
70-74__yrs	6.8180E-01	4.3530E-01	6.1110E-01	1.6404E+00	9.6030E-01	4.6730E-01	4.9300E-01	9.4920E-01	2.4024E+00	2.8271E+00	1.3501E+00	9.5510E-01	0.0000E+00	9.4790E-01	8.6250E-01	5.5910E-01	5.7190E-01	6.0720E-01	1.3578E+00
75-79__yrs	7.3820E-01	4.7880E-01	7.1300E-01	2.0030E+00	1.1005E+00	5.1840E-01	5.7170E-01	1.1136E+00	2.5994E+00	3.0215E+00	1.3751E+00	1.0365E+00	0.0000E+00	1.0998E+00	9.5890E-01	6.2040E-01	5.5830E-01	7.4500E-01	1.4963E+00
80-84__yrs	8.5050E-01	5.7110E-01	9.2900E-01	2.5686E+00	1.3133E+00	6.2070E-01	7.3590E-01	1.3816E+00	2.8108E+00	3.3357E+00	1.5230E+00	1.2152E+00	0.0000E+00	1.3587E+00	1.0972E+00	6.8030E-01	5.5960E-01	9.2960E-01	1.7430E+00
>=85___yrs	8.7520E-01	6.2190E-01	1.0242E+00	2.7975E+00	1.3768E+00	5.7320E-01	7.9390E-01	1.4897E+00	2.3704E+00	3.0342E+00	1.3546E+00	1.1404E+00	0.0000E+00	1.4356E+00	9.7470E-01	6.2440E-01	4.6060E-01	1.0081E+00	1.7633E+00
