2001-2005	Brazil	Baseline	Incidence	Rates
Male_rate_	OralCav___	Esophagus_	Stomach___	Colon_____	Rectum____	Liver_____	Gallbladd_	Pancreas__	Lung______	Breast____	Uterus____	Ovary_____	Prostate__	UrinBladd_	Kidney____	Brain_CNS_	Thyroid___	Leukemia__	Remainder_
25-29__yrs	1.5560E-01	4.7200E-02	1.5080E-01	1.3700E-01	1.3150E-01	4.1600E-02	4.9700E-02	4.7200E-02	9.5600E-02	3.7330E-01	4.1670E-01	1.9310E-01	0.0000E+00	4.9700E-02	8.6100E-02	2.0130E-01	3.8880E-01	1.8800E-01	4.3930E-01
30-34__yrs	1.8940E-01	5.8700E-02	2.3650E-01	2.0810E-01	1.7440E-01	5.6200E-02	8.4700E-02	8.9600E-02	1.5050E-01	6.4050E-01	6.0550E-01	2.3160E-01	0.0000E+00	9.1200E-02	9.2800E-02	2.2410E-01	5.0100E-01	2.0950E-01	5.8330E-01
35-39__yrs	2.2060E-01	8.7100E-02	2.8380E-01	2.6600E-01	2.5200E-01	6.9700E-02	1.2050E-01	1.1380E-01	2.3380E-01	9.7910E-01	7.5130E-01	3.1390E-01	0.0000E+00	1.1920E-01	1.5900E-01	2.6600E-01	5.5920E-01	2.3440E-01	7.4220E-01
40-44__yrs	3.0440E-01	1.4910E-01	3.8770E-01	4.1640E-01	3.6580E-01	9.1300E-02	1.6610E-01	1.9360E-01	3.7970E-01	1.4569E+00	9.7530E-01	4.5240E-01	0.0000E+00	1.7460E-01	2.1670E-01	3.0440E-01	6.8640E-01	2.7150E-01	1.0652E+00
45-49__yrs	4.1890E-01	2.5580E-01	5.3490E-01	5.9590E-01	5.4210E-01	1.3170E-01	2.8960E-01	2.9470E-01	6.0480E-01	1.9919E+00	1.2326E+00	5.9990E-01	0.0000E+00	2.8020E-01	3.0270E-01	4.2800E-01	8.4730E-01	3.6260E-01	1.4387E+00
50-54__yrs	5.5410E-01	4.0350E-01	7.2060E-01	8.1680E-01	7.6380E-01	2.1490E-01	4.3350E-01	4.4200E-01	8.3870E-01	2.5074E+00	1.5389E+00	8.1740E-01	0.0000E+00	3.8460E-01	4.4520E-01	5.5160E-01	1.0163E+00	4.6760E-01	1.9242E+00
55-59__yrs	7.8820E-01	5.9310E-01	1.0248E+00	1.1746E+00	1.0602E+00	3.3390E-01	6.0320E-01	7.3520E-01	1.2835E+00	3.1793E+00	2.0927E+00	1.1208E+00	0.0000E+00	6.2140E-01	6.1170E-01	7.7390E-01	1.1688E+00	5.4960E-01	2.7594E+00
60-64__yrs	9.5460E-01	7.5270E-01	1.3777E+00	1.4825E+00	1.3359E+00	3.9850E-01	7.9390E-01	9.3710E-01	1.6633E+00	3.4898E+00	2.4098E+00	1.3163E+00	0.0000E+00	7.0410E-01	7.4160E-01	8.8130E-01	1.1580E+00	7.2070E-01	3.3662E+00
65-69__yrs	1.1956E+00	9.5250E-01	1.7627E+00	1.9915E+00	1.6374E+00	4.9870E-01	1.1562E+00	1.2808E+00	2.0798E+00	4.1332E+00	2.8783E+00	1.6078E+00	0.0000E+00	1.0920E+00	9.8310E-01	1.0818E+00	1.2531E+00	8.7770E-01	4.5299E+00
70-74__yrs	1.4568E+00	1.0629E+00	2.3100E+00	2.5438E+00	2.0388E+00	6.2780E-01	1.4398E+00	1.6952E+00	2.4617E+00	4.5578E+00	3.2066E+00	1.8290E+00	0.0000E+00	1.3795E+00	1.1280E+00	1.2912E+00	1.2567E+00	1.1304E+00	5.7295E+00
75-79__yrs	2.0594E+00	1.5585E+00	3.3089E+00	3.8617E+00	2.9210E+00	9.3270E-01	1.9366E+00	2.4217E+00	3.3804E+00	6.3012E+00	4.1704E+00	2.4833E+00	0.0000E+00	2.0867E+00	1.5300E+00	1.7949E+00	1.7270E+00	1.6639E+00	8.7674E+00
80-84__yrs	2.3341E+00	1.7900E+00	4.0052E+00	4.5083E+00	3.2960E+00	9.1180E-01	2.2349E+00	2.9008E+00	3.3928E+00	6.8795E+00	4.4553E+00	2.4754E+00	0.0000E+00	2.5165E+00	1.7318E+00	1.9011E+00	2.5079E+00	1.9067E+00	1.1913E+01
>=85___yrs	2.3341E+00	1.7900E+00	4.0052E+00	4.5083E+00	3.2960E+00	9.1180E-01	2.2349E+00	2.9008E+00	3.3928E+00	6.8795E+00	4.4553E+00	2.4754E+00	0.0000E+00	2.5165E+00	1.7318E+00	1.9011E+00	2.5079E+00	1.9067E+00	1.1913E+01
